#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
203,BlockPay,BLOCKPAY,"$2,016,353",$0.371452,"5,428,300*","$15,289",-0.68%,2.05%,20.97%
204,Project Decorum,PDC,"$1,949,270",$0.038985,"50,000,000*","$3,917",1.96%,8.47%,33.36%
205,FUNCoin,FUNC,"$1,930,492",$0.305637,"6,316,290*","$53,082",-12.67%,-9.39%,115.63%
206,Visio,VISIO,"$1,864,395",$0.036887,"50,543,287*",$857,2.33%,13.87%,36.63%
207,NuShares,NSR,"$1,838,502",$0.000680,"2,702,268,334*","$36,427",17.67%,15.82%,416.59%
208,Boolberry,XBB,"$1,815,280",$0.190431,"9,532,480","$11,134",-0.92%,14.68%,61.72%
209,Bata,BTA,"$1,796,169",$0.362992,"4,948,232","$17,794",0.85%,-2.51%,75.17%
210,SecureCoin,SRC,"$1,758,981",$0.226405,"7,769,181","$672,379",10.25%,14.52%,75.71%
211,TagCoin,TAG,"$1,731,263",$0.316387,"5,471,979","$398,197",6.34%,10.13%,56.80%
212,Zeitcoin,ZEIT,"$1,719,351",$0.000047,"36,209,358,981","$5,264",0.61%,32.62%,175.82%
213,Startcoin,START,"$1,718,135",$0.038113,"45,079,785**","$72,637",1.90%,14.19%,95.77%
214,2GIVE,2GIVE,"$1,596,737",$0.003113,"512,931,911","$76,215",-4.89%,-3.49%,164.28%
215,vTorrent,VTR,"$1,523,072",$0.140817,"10,815,966","$28,997",0.57%,24.95%,15.09%
216,DeepWebCash,DWC,"$1,510,660",$1.19,"1,271,300","$86,258",-0.57%,-29.27%,-20.85%
217,Breakout,BRK,"$1,482,723",$0.082877,"17,890,647","$11,802",2.97%,5.32%,59.50%
218,bitUSD,BITUSD,"$1,416,918",$0.994517,"1,424,730*","$119,113",-1.30%,1.00%,1.94%
219,Blitzcash,BLITZ,"$1,416,256",$0.348691,"4,061,637*","$11,963",2.13%,31.30%,129.57%
220,Breakout Stake,BRX,"$1,410,080",$0.224962,"6,268,082*",$898,-5.56%,3.32%,42.34%
221,ChainCoin,CHC,"$1,395,729",$0.095531,"14,610,178","$4,851",27.66%,61.58%,38.70%
222,Ixcoin,IXC,"$1,307,317",$0.062256,"20,999,088*","$17,675",-4.01%,35.84%,102.10%
223,NewYorkCoin,NYC,"$1,273,964",$0.000021,"59,719,935,819","$1,454",3.00%,250.63%,57799.30%
224,ArcticCoin,ARC,"$1,269,339",$0.054555,"23,266,933","$5,894",0.59%,-14.68%,5.21%
225,Triggers,TRIG,"$1,267,786",$0.039488,"32,105,593*","$3,312",0.57%,6.73%,46.14%
226,Sequence,SEQ,"$1,259,507",$0.028192,"44,676,054","$2,839",7.11%,7.92%,30.68%
227,GlobalCoin,GLC,"$1,252,424",$0.019217,"65,171,010","$1,015",5.36%,-24.04%,-0.56%
228,AudioCoin,ADC,"$1,252,016",$0.001578,"793,198,644","$3,138",7.84%,3.07%,60.36%
229,Stealthcoin,XST,"$1,237,750",$0.047386,"26,120,799","$9,729",0.95%,-4.33%,127.62%
230,Dynamic,DYN,"$1,230,329",$0.765302,"1,607,638*","$5,819",5.66%,4.66%,14.51%
231,DopeCoin,DOPE,"$1,225,544",$0.011033,"111,082,828","$94,861",-6.78%,-4.78%,219.57%
232,Inpay,INPAY,"$1,198,280",$0.119828,"10,000,000*","$46,480",0.80%,-7.90%,3.02%
233,CageCoin,CAGE,"$1,188,839",$0.000012,"101,168,328,395",$782,4.64%,42.17%,16.78%
234,Mediterranean...,MED,"$1,165,521",$0.023453,"49,694,968","$41,065",-0.57%,-7.29%,63.00%
235,HempCoin,THC,"$1,160,888",$0.005480,"211,823,061","$67,661",3.61%,-5.72%,181.68%
236,Mercury,MER,"$1,155,950",$0.011560,"100,000,000*","$42,451",2.36%,5.15%,12.27%
237,HiCoin,XHI,"$1,145,058",$0.006035,"189,729,990","$132,611",-1.87%,-8.84%,84.65%
238,RouletteToken,RLT,"$1,073,450",$0.429380,"2,500,000*","$18,121",-0.01%,2.77%,?
239,VeriumReserve,VRM,"$1,044,674",$0.951331,"1,098,119","$9,208",3.40%,17.84%,109.59%
240,Minereum,MNE,"$1,041,224",$3.12,"333,390*","$40,682",1.52%,6.53%,1222.28%
241,EuropeCoin,ERC,"$1,033,095",$0.105062,"9,833,189*","$2,018",0.34%,11.50%,57.07%
242,Hacker Gold,HKG,"$1,031,365",$0.064017,"16,110,893*","$8,731",3.14%,5.71%,18.28%
243,CryptoCarbon,CCRB,"$1,031,178",$0.289485,"3,562,111*","$1,154",17.57%,-13.79%,-18.17%
244,Pesetacoin,PTC,"$1,029,899",$0.007897,"130,412,911","$11,920",-3.32%,9.86%,121.61%
245,PutinCoin,PUT,"$993,265",$0.004956,"200,408,616","$24,566",1.63%,-15.20%,7.38%
246,Centurion,CNT,"$973,630",$0.037840,"25,729,904","$82,355",-4.19%,13.00%,13.30%
247,e-Gulden,EFL,"$948,461",$0.061847,"15,335,555**","$8,569",4.09%,13.47%,22.03%
248,EverGreenCoin,EGC,"$918,669",$0.068968,"13,320,265","$58,065",0.39%,17.26%,79.21%
249,ShadowCash,SDC,"$908,747",$0.136366,"6,664,026*","$4,510",-1.22%,-5.35%,-10.58%
250,Yocoin,YOC,"$907,297",$0.008590,"105,618,830*","$8,671",-0.91%,-5.85%,-56.23%
